closure,R,c,error,standard_error,ci_low,ci_high,ci_reaches_zero,n_replicates,n_times,tau_start,tau_end
algebraic_qss0,4.0,0.25,0.025932776892074544,0.00027445724630493915,0.025394850574020824,0.026470703210128264,False,120,151,0.0,5.0
dynamic_K1,4.0,0.25,0.0025824237811899998,0.0009116990404922962,0.0007955264970853748,0.0043693210652946245,False,120,151,0.0,5.0
dynamic_K2,4.0,0.25,0.002108569607605172,0.0012207714319187653,0.0,0.004501237647521343,True,120,151,0.0,5.0
dynamic_K3,4.0,0.25,0.002103970198969969,0.001218910644204122,0.0,0.0044929911619825645,True,120,151,0.0,5.0
algebraic_qss0,4.0,0.5,0.021786398396471802,0.00023502236883570678,0.02132576301799253,0.022247033774951075,False,120,151,0.0,5.0
dynamic_K1,4.0,0.5,0.0035171237421305307,0.0006451046566318249,0.002252741848873076,0.004781505635387985,False,120,151,0.0,5.0
dynamic_K2,4.0,0.5,0.0019813221895065144,0.0012804928883313998,0.0,0.004491042133095728,True,120,151,0.0,5.0
dynamic_K3,4.0,0.5,0.001972386718826713,0.0012745919081774467,0.0,0.0044705409538406925,True,120,151,0.0,5.0
algebraic_qss0,4.0,0.75,0.020282515150250237,0.00022939142165665527,0.019832916225440752,0.02073211407505972,False,120,151,0.0,5.0
dynamic_K1,4.0,0.75,0.0040622311238873105,0.00013792766605149183,0.0037918978659547188,0.004332564381819903,False,120,151,0.0,5.0
dynamic_K2,4.0,0.75,0.0008399633580407982,0.0005927402365153589,0.0,0.002001712873798655,True,120,151,0.0,5.0
dynamic_K3,4.0,0.75,0.0006323708800545334,0.0007166817211154972,0.0,0.002037041241819087,True,120,151,0.0,5.0
algebraic_qss0,4.0,1.0,0.02053691327986901,0.00047398696715363975,0.019607915895106506,0.021465910664631514,False,120,151,0.0,5.0
dynamic_K1,4.0,1.0,0.006237382686032269,0.0004021794950546128,0.0054491253604047225,0.007025640011659815,False,120,151,0.0,5.0
dynamic_K2,4.0,1.0,0.0009094186643504726,0.0001444578574197617,0.0006262864665239174,0.0011925508621770278,False,120,151,0.0,5.0
dynamic_K3,4.0,1.0,0.0006187404422593054,0.0003121819235779233,6.875115422140098e-06,0.0012306057690964706,False,120,151,0.0,5.0
