U0,I0,protocol_id,R,c,n_replicates,E_U,E_I,E_M1,E_mean
500,10,R4_c0_G4_F,4.0,0.0,120,0.011265561318008644,0.0067126295968023665,0.004975346604372493,0.014025916788121932
500,10,R4_c0.25_G0.25_L,4.0,0.25,120,0.007188094303014552,0.003787449674236541,0.0030010425936601855,0.008661393155426406
500,10,R4_c0.25_G0.25_M,4.0,0.25,120,0.012225996523538377,0.0075439287859017734,0.005472505404742036,0.015373163887933436
500,10,R4_c0.25_G0.25_F,4.0,0.25,120,0.013927446923397323,0.007895949604767943,0.005679848951786301,0.01698765675660397
500,10,R4_c0.25_G0.5_L,4.0,0.25,120,0.011175454291502834,0.007398623388587351,0.005969427131797053,0.014671893775155806
500,10,R4_c0.25_G0.5_M,4.0,0.25,120,0.012009727292747708,0.0068516036289853095,0.00509357751025259,0.014735079022110631
500,10,R4_c0.25_G0.5_F,4.0,0.25,120,0.008306866694123897,0.004789962302610957,0.003017005025574979,0.010052367505156366
500,10,R4_c0.25_G1_L,4.0,0.25,120,0.01210719063031277,0.007483944928985402,0.005253168972936061,0.015171990011763049
500,10,R4_c0.25_G1_M,4.0,0.25,120,0.008055223830057889,0.005262957258732508,0.003876937631944917,0.010373812966386484
500,10,R4_c0.25_G1_F,4.0,0.25,120,0.008957114915933323,0.005395884606660126,0.004055339402958001,0.011215670108326595
500,10,R4_c0.25_G2_L,4.0,0.25,120,0.010734844555347506,0.005829341739801361,0.004649264589194013,0.013070339474061022
500,10,R4_c0.25_G2_M,4.0,0.25,120,0.02240458531456881,0.012259548869300509,0.00927185847536419,0.027170376169345586
500,10,R4_c0.25_G2_F,4.0,0.25,120,0.0089927198966364,0.006165390633718936,0.005215765129768858,0.012086573488570783
500,10,R4_c0.25_G4_L,4.0,0.25,120,0.0089186618191281,0.0056166742295437454,0.004724129641038114,0.01155019302479959
500,10,R4_c0.25_G4_M,4.0,0.25,120,0.016221041752754402,0.009897952232979334,0.007525488100896238,0.02043831267760803
500,10,R4_c0.25_G4_F,4.0,0.25,120,0.010283253434806296,0.006745580107749735,0.005426602446664558,0.013442327414129972
500,10,R4_c0.5_G0.25_L,4.0,0.5,120,0.014751601078913408,0.007539598553406632,0.005794250639851848,0.017550744178391815
500,10,R4_c0.5_G0.25_M,4.0,0.5,120,0.00797117690629811,0.004076519908761831,0.003220207967145125,0.00951458959649321
500,10,R4_c0.5_G0.25_F,4.0,0.5,120,0.007938844406316838,0.0053614423098846675,0.004759361649538133,0.010696814360407678
500,10,R4_c0.5_G0.5_L,4.0,0.5,120,0.014082286575839388,0.008259565914301603,0.0060694121633304505,0.017417490872830756
500,10,R4_c0.5_G0.5_M,4.0,0.5,120,0.008059994891778902,0.002842365057957202,0.002018129222147308,0.0087815375837881
500,10,R4_c0.5_G0.5_F,4.0,0.5,120,0.012248159464584428,0.005818475020755624,0.004790982294735376,0.014381431541592585
500,10,R4_c0.5_G1_L,4.0,0.5,120,0.009234446396055014,0.004211009340021891,0.003962122956104667,0.010895229149616662
500,10,R4_c0.5_G1_M,4.0,0.5,120,0.008042112823823607,0.004062150440464901,0.0031820278567658753,0.009555205186353213
500,10,R4_c0.5_G1_F,4.0,0.5,120,0.004641973144024175,0.003531789585208924,0.0027691026712734655,0.006456731522069487
500,10,R4_c0.5_G2_L,4.0,0.5,120,0.011211790177784904,0.005110292283045041,0.0039080962169603045,0.012926428054564926
