analytical_table_id,configuration_sha256,R,R_zero_handling,c,m1_canonical_selected_qss,m1_zeroth_order,m1_first_order,accepted_depth,fixed_point_residual,bessel_cf_difference
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.854299999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8957367245645678,0.8870605242650464,0.8960788619567098,40,1.1102230246251565e-16,1.3322676295501878e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.87925,R>0; left boundary is R_to_0_plus limit,1.0,0.8960137019611132,0.8873778753836192,0.8963545799704687,40,5.551115123125783e-16,9.992007221626409e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.9041999999999994,R>0; left boundary is R_to_0_plus limit,1.0,0.8962891815928478,0.8876934480357584,0.8966288011691437,40,0.0,3.3306690738754696e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.92915,R>0; left boundary is R_to_0_plus limit,1.0,0.8965631757872456,0.8880072571297379,0.896901537997329,40,1.1102230246251565e-16,9.992007221626409e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.9540999999999995,R>0; left boundary is R_to_0_plus limit,1.0,0.8968356967348727,0.8883193174076679,0.8971728027592598,40,1.1102230246251565e-16,6.661338147750939e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,7.97905,R>0; left boundary is R_to_0_plus limit,1.0,0.8971067564913078,0.8886296434478034,0.897442607620817,40,0.0,1.1102230246251565e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.004,R>0; left boundary is R_to_0_plus limit,1.0,0.8973763669790271,0.8889382496668148,0.8977109646114978,40,4.440892098500626e-16,0.0
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.02895,R>0; left boundary is R_to_0_plus limit,1.0,0.8976445399892627,0.8892451503220197,0.8979778856263507,40,5.551115123125783e-16,6.661338147750939e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.053899999999999,R>0; left boundary is R_to_0_plus limit,1.0,0.8979112871838222,0.8895503595135797,0.8982433824278808,40,2.220446049250313e-16,1.3322676295501878e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,8.07885,R>0; left boundary is R_to_0_plus limit,1.0,0.8981766200968799,0.8898538911866591,0.8985074666479183,40,1.1102230246251565e-16,1.3322676295501878e-15
