closure,R,c,n_replicates,n_timepoints,mean_signed_defect,mean_absolute_defect,root_mean_square_defect,maximum_absolute_defect
algebraic_qss0,1.5,1.0,120,136,-0.02603251869393076,0.04640952952265564,0.05204708425724936,0.17384365339702373
dynamic_K1,1.5,1.0,120,136,0.009661837241624508,0.022859844447364164,0.02603631852107884,0.06943250908512735
dynamic_K2,1.5,1.0,120,136,0.0028360023400810863,0.007260208282743296,0.008315593905258142,0.016900685078262107
dynamic_K3,1.5,1.0,120,136,0.0006542796336323686,0.0017928398755976316,0.002031467166209589,0.004072085373919763
algebraic_qss0,2.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K1,2.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K2,2.0,0.0,120,136,0.0,0.0,0.0,0.0
dynamic_K3,2.0,0.0,120,136,0.0,0.0,0.0,0.0
algebraic_qss0,2.0,0.25,120,136,-0.003944638701778185,0.008271299985914526,0.009877970055545483,0.03583086415446571
dynamic_K1,2.0,0.25,120,136,0.0016581981368007908,0.005211377112288238,0.006392783238716219,0.02158393694680677
dynamic_K2,2.0,0.25,120,136,0.0005739353200949924,0.0020972049743128063,0.0024852812792667913,0.00680673376861708
dynamic_K3,2.0,0.25,120,136,0.00014429544046253834,0.0006475580127184432,0.0007603209335791887,0.0018171979302338045
algebraic_qss0,2.0,0.5,120,136,-0.009177287714074759,0.01742479775789981,0.02017686158386287,0.07095486519012523
dynamic_K1,2.0,0.5,120,136,0.0042019683208703446,0.01098129467265744,0.012922593713289132,0.04158562889140563
dynamic_K2,2.0,0.5,120,136,0.001498321088926228,0.004220984897640785,0.004895082560031261,0.0130356279880742
dynamic_K3,2.0,0.5,120,136,0.0004968873792815673,0.0012388755644411943,0.0014163091624815427,0.0028669400037021966
algebraic_qss0,2.0,0.75,120,136,-0.01938502697794628,0.03078601899798886,0.0341386689338641,0.11108647290398177
dynamic_K1,2.0,0.75,120,136,0.008837915295945952,0.018791637560904784,0.021437760032581923,0.0649822691858588
dynamic_K2,2.0,0.75,120,136,0.0024174311063739173,0.007357714512564444,0.008443252366124091,0.02015017679471039
dynamic_K3,2.0,0.75,120,136,0.000562790922804922,0.0022069791259110316,0.0024732209722060205,0.005042127111160675
algebraic_qss0,2.0,1.0,120,136,-0.03428750169090898,0.04762494117742866,0.05086232081422614,0.14894125569137595
