R,c,tau,requested,alive
1.0,0.75,0.9666666666666667,120,120
1.0,0.75,1.0,120,120
1.0,0.75,1.0333333333333332,120,120
1.0,0.75,1.0666666666666667,120,120
1.0,0.75,1.1,120,120
1.0,0.75,1.1333333333333333,120,120
1.0,0.75,1.1666666666666667,120,120
1.0,0.75,1.2,120,120
1.0,0.75,1.2333333333333334,120,120
1.0,0.75,1.2666666666666666,120,120
1.0,0.75,1.3,120,120
1.0,0.75,1.3333333333333333,120,120
1.0,0.75,1.3666666666666667,120,120
1.0,0.75,1.4,120,120
1.0,0.75,1.4333333333333333,120,120
1.0,0.75,1.4666666666666666,120,120
1.0,0.75,1.5,120,120
1.0,0.75,1.5333333333333332,120,120
1.0,0.75,1.5666666666666667,120,120
1.0,0.75,1.6,120,120
1.0,0.75,1.6333333333333333,120,120
1.0,0.75,1.6666666666666667,120,120
1.0,0.75,1.7,120,120
1.0,0.75,1.7333333333333334,120,120
1.0,0.75,1.7666666666666666,120,120
1.0,0.75,1.8,120,120
1.0,0.75,1.8333333333333333,120,120
1.0,0.75,1.8666666666666667,120,120
1.0,0.75,1.9,120,120
1.0,0.75,1.9333333333333333,120,120
1.0,0.75,1.9666666666666666,120,120
1.0,0.75,2.0,120,120
1.0,0.75,2.033333333333333,120,120
1.0,0.75,2.0666666666666664,120,120
1.0,0.75,2.1,120,120
1.0,0.75,2.1333333333333333,120,120
1.0,0.75,2.1666666666666665,120,120
1.0,0.75,2.2,120,120
1.0,0.75,2.2333333333333334,120,120
1.0,0.75,2.2666666666666666,120,120
1.0,0.75,2.3,120,120
1.0,0.75,2.3333333333333335,120,120
1.0,0.75,2.3666666666666667,120,120
1.0,0.75,2.4,120,120
1.0,0.75,2.433333333333333,120,120
1.0,0.75,2.466666666666667,120,120
1.0,0.75,2.5,120,120
1.0,0.75,2.533333333333333,120,120
1.0,0.75,2.5666666666666664,120,120
1.0,0.75,2.6,120,120
1.0,0.75,2.6333333333333333,120,120
1.0,0.75,2.6666666666666665,120,120
1.0,0.75,2.7,120,120
1.0,0.75,2.7333333333333334,120,120
1.0,0.75,2.7666666666666666,120,120
1.0,0.75,2.8,120,120
1.0,0.75,2.8333333333333335,120,120
1.0,0.75,2.8666666666666667,120,120
1.0,0.75,2.9,120,120
1.0,0.75,2.933333333333333,120,120
1.0,0.75,2.966666666666667,120,120
1.0,0.75,3.0,120,120
1.0,0.75,3.033333333333333,120,120
1.0,0.75,3.0666666666666664,120,120
1.0,0.75,3.1,120,120
