analytical_table_id,configuration_sha256,R,c,epsilon,retained_order_p,m1_canonical_selected_qss,m1_perturbative,signed_error_approximation_minus_qss,absolute_error_e_p,first_omitted_term_indicator,canonical_accepted_depth,canonical_fixed_point_residual,canonical_depth_doubling_difference,canonical_bessel_cf_difference,canonical_root_error_estimate
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.022,0.0055,1,0.5009200426362437,0.5009166666666667,-3.375969577001925e-06,3.375969577001925e-06,3.3611111111111105e-06,40,1.3322676295501878e-15,0.0,5.551115123125783e-16,1.3396446972834845e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.022,0.0055,2,0.5009200426362437,0.5009200277777778,-1.4858465902101159e-08,1.4858465902101159e-08,1.4788888888888888e-08,40,1.3322676295501878e-15,0.0,5.551115123125783e-16,1.3396446972834845e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.023,0.00575,0,0.5009620239261905,0.5,-0.0009620239261904917,0.0009620239261904917,0.0009583333333333333,40,8.881784197001252e-16,0.0,1.4432899320127035e-15,8.93321594882074e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.023,0.00575,1,0.5009620239261905,0.5009583333333333,-3.690592857208408e-06,3.690592857208408e-06,3.6736111111111104e-06,40,8.881784197001252e-16,0.0,1.4432899320127035e-15,8.93321594882074e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.023,0.00575,2,0.5009620239261905,0.5009620069444444,-1.6981746120414698e-08,1.6981746120414698e-08,1.689861111111111e-08,40,8.881784197001252e-16,0.0,1.4432899320127035e-15,8.93321594882074e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.024,0.006,0,0.5010040192985852,0.5,-0.0010040192985851792,0.0010040192985851792,0.001,40,7.771561172376096e-16,0.0,5.551115123125783e-16,7.818535056081053e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.024,0.006,1,0.5010040192985852,0.501,-4.019298585178355e-06,4.019298585178355e-06,4e-06,40,7.771561172376096e-16,0.0,5.551115123125783e-16,7.818535056081053e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.024,0.006,2,0.5010040192985852,0.501004,-1.9298585174354344e-08,1.9298585174354344e-08,1.92e-08,40,7.771561172376096e-16,0.0,5.551115123125783e-16,7.818535056081053e-16
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.025,0.00625,0,0.5010460287619356,0.5,-0.0010460287619356023,0.0010460287619356023,0.0010416666666666667,40,4.6629367034256575e-15,0.0,4.9960036108132044e-15,4.692304422728734e-15
FIG3_CANONICAL_QSS_V2,72c2f02795c9120fd3fd7cf2ad8b371f0d5ccc32a8efacf6b2d0a8ca09cb384e,1.0,0.025,0.00625,1,0.5010460287619356,0.5010416666666667,-4.36209526888387e-06,4.36209526888387e-06,4.340277777777779e-06,40,4.6629367034256575e-15,0.0,4.9960036108132044e-15,4.692304422728734e-15
