R,c,replicate,k,seed,window_start,window_end,valid_time_points,replicate_time_average,extinction_time,censoring_time,peak_active,infection_events,identification_events,traced_removals
1.0,0.0,55,1,7491695397141661421,3.0,3.25,26,0.4935485276239743,nan,nan,177,438,473,0
1.0,0.0,55,2,7491695397141661421,3.0,3.25,26,0.13544064208313877,nan,nan,177,438,473,0
1.0,0.0,55,3,7491695397141661421,3.0,3.25,26,0.021987723846017746,nan,nan,177,438,473,0
1.0,0.0,56,1,3653037494824195630,3.0,3.25,26,0.47919453359647185,nan,nan,175,457,480,0
1.0,0.0,56,2,3653037494824195630,3.0,3.25,26,0.11997780249568166,nan,nan,175,457,480,0
1.0,0.0,56,3,3653037494824195630,3.0,3.25,26,0.019147327508879614,nan,nan,175,457,480,0
1.0,0.0,57,1,6658477184380080222,3.0,3.25,26,0.5237907372675015,nan,nan,174,506,498,0
1.0,0.0,57,2,6658477184380080222,3.0,3.25,26,0.18398304061046683,nan,nan,174,506,498,0
1.0,0.0,57,3,6658477184380080222,3.0,3.25,26,0.06098187846592324,nan,nan,174,506,498,0
1.0,0.0,58,1,9536837925534586908,3.0,3.25,26,0.49465733557892116,nan,nan,174,522,508,0
1.0,0.0,58,2,9536837925534586908,3.0,3.25,26,0.1657682910341854,nan,nan,174,522,508,0
1.0,0.0,58,3,9536837925534586908,3.0,3.25,26,0.06483182191943938,nan,nan,174,522,508,0
1.0,0.0,59,1,8644230302522141364,3.0,3.25,26,0.5353052351142596,nan,nan,169,467,474,0
1.0,0.0,59,2,8644230302522141364,3.0,3.25,26,0.17610642567598483,nan,nan,169,467,474,0
1.0,0.0,59,3,8644230302522141364,3.0,3.25,26,0.04956162014730137,nan,nan,169,467,474,0
1.0,0.0,60,1,494345550940418468,3.0,3.25,26,0.5101837254267687,nan,nan,167,366,422,0
1.0,0.0,60,2,494345550940418468,3.0,3.25,26,0.17831671124629914,nan,nan,167,366,422,0
1.0,0.0,60,3,494345550940418468,3.0,3.25,26,0.053048873364509294,nan,nan,167,366,422,0
1.0,0.0,61,1,12337862506358826499,3.0,3.25,26,0.47518536518764876,nan,nan,171,524,535,0
1.0,0.0,61,2,12337862506358826499,3.0,3.25,26,0.16762995362440233,nan,nan,171,524,535,0
1.0,0.0,61,3,12337862506358826499,3.0,3.25,26,0.043838152726749284,nan,nan,171,524,535,0
1.0,0.0,62,1,5025897316364122145,3.0,3.25,26,0.495004786839842,nan,nan,205,626,589,0
1.0,0.0,62,2,5025897316364122145,3.0,3.25,26,0.17219905078931924,nan,nan,205,626,589,0
1.0,0.0,62,3,5025897316364122145,3.0,3.25,26,0.02996315958648934,nan,nan,205,626,589,0
1.0,0.0,63,1,10361113519052935808,3.0,3.25,26,0.4740112177896283,nan,nan,180,464,496,0
1.0,0.0,63,2,10361113519052935808,3.0,3.25,26,0.12029869344168863,nan,nan,180,464,496,0
1.0,0.0,63,3,10361113519052935808,3.0,3.25,26,0.02778632242738871,nan,nan,180,464,496,0
1.0,0.0,64,1,15295016756812368575,3.0,3.25,26,0.4774093293160076,nan,nan,170,398,446,0
1.0,0.0,64,2,15295016756812368575,3.0,3.25,26,0.13041295388900712,nan,nan,170,398,446,0
1.0,0.0,64,3,15295016756812368575,3.0,3.25,26,0.027327785398692902,nan,nan,170,398,446,0
1.0,0.0,65,1,14321325518709575810,3.0,3.25,26,0.4767165033491307,nan,nan,165,498,498,0
1.0,0.0,65,2,14321325518709575810,3.0,3.25,26,0.08539568042683712,nan,nan,165,498,498,0
1.0,0.0,65,3,14321325518709575810,3.0,3.25,26,0.02218552498071443,nan,nan,165,498,498,0
1.0,0.0,66,1,9421619557662010937,3.0,3.25,26,0.5212677578716282,nan,nan,171,405,448,0
1.0,0.0,66,2,9421619557662010937,3.0,3.25,26,0.14171310573932347,nan,nan,171,405,448,0
1.0,0.0,66,3,9421619557662010937,3.0,3.25,26,0.020565033192404745,nan,nan,171,405,448,0
1.0,0.0,67,1,11167788529675034549,3.0,3.25,26,0.5410327023626713,nan,nan,162,452,460,0
1.0,0.0,67,2,11167788529675034549,3.0,3.25,26,0.21138172091358082,nan,nan,162,452,460,0
1.0,0.0,67,3,11167788529675034549,3.0,3.25,26,0.06600725229458518,nan,nan,162,452,460,0
1.0,0.0,68,1,5439078513372678823,3.0,3.25,26,0.5236481676907175,nan,nan,160,392,430,0
1.0,0.0,68,2,5439078513372678823,3.0,3.25,26,0.12481535079403502,nan,nan,160,392,430,0
1.0,0.0,68,3,5439078513372678823,3.0,3.25,26,0.022715241241545413,nan,nan,160,392,430,0
1.0,0.0,69,1,10914223083260512089,3.0,3.25,26,0.5214532434494153,nan,nan,162,363,420,0
1.0,0.0,69,2,10914223083260512089,3.0,3.25,26,0.14001837428606032,nan,nan,162,363,420,0
1.0,0.0,69,3,10914223083260512089,3.0,3.25,26,0.024573432187510895,nan,nan,162,363,420,0
1.0,0.0,70,1,389658128130043610,3.0,3.25,26,0.5225027290001651,nan,nan,188,558,538,0
1.0,0.0,70,2,389658128130043610,3.0,3.25,26,0.20621925089173235,nan,nan,188,558,538,0
1.0,0.0,70,3,389658128130043610,3.0,3.25,26,0.05569354999919673,nan,nan,188,558,538,0
1.0,0.0,71,1,16542718300961895131,3.0,3.25,26,0.4778375003898566,nan,nan,189,579,562,0
1.0,0.0,71,2,16542718300961895131,3.0,3.25,26,0.15557032570862023,nan,nan,189,579,562,0
1.0,0.0,71,3,16542718300961895131,3.0,3.25,26,0.03815635163900143,nan,nan,189,579,562,0
1.0,0.0,72,1,510060571390827780,3.0,3.25,26,0.46882256938181005,nan,nan,205,570,549,0
1.0,0.0,72,2,510060571390827780,3.0,3.25,26,0.1265331948812116,nan,nan,205,570,549,0
1.0,0.0,72,3,510060571390827780,3.0,3.25,26,0.033715584844175285,nan,nan,205,570,549,0
1.0,0.0,73,1,2639240261217035681,3.0,3.25,26,0.524624711382245,nan,nan,171,453,484,0
1.0,0.0,73,2,2639240261217035681,3.0,3.25,26,0.1872072375728856,nan,nan,171,453,484,0
1.0,0.0,73,3,2639240261217035681,3.0,3.25,26,0.037725380090031756,nan,nan,171,453,484,0
1.0,0.0,74,1,15140529044044558248,3.0,3.25,26,0.5194835021094247,nan,nan,180,502,485,0
1.0,0.0,74,2,15140529044044558248,3.0,3.25,26,0.19956678265741062,nan,nan,180,502,485,0
1.0,0.0,74,3,15140529044044558248,3.0,3.25,26,0.06497598848226871,nan,nan,180,502,485,0
1.0,0.0,75,1,10107027001349771786,3.0,3.25,26,0.5338585268179579,nan,nan,179,514,516,0
1.0,0.0,75,2,10107027001349771786,3.0,3.25,26,0.24662832926935638,nan,nan,179,514,516,0
1.0,0.0,75,3,10107027001349771786,3.0,3.25,26,0.07910803832404249,nan,nan,179,514,516,0
1.0,0.0,76,1,3970249624421357869,3.0,3.25,26,0.47318385225038095,nan,nan,172,363,429,0
1.0,0.0,76,2,3970249624421357869,3.0,3.25,26,0.17229170800072857,nan,nan,172,363,429,0
1.0,0.0,76,3,3970249624421357869,3.0,3.25,26,0.05086506730024488,nan,nan,172,363,429,0
1.0,0.0,77,1,14837269621533202755,3.0,3.25,26,0.45036710580709877,nan,nan,217,645,616,0
1.0,0.0,77,2,14837269621533202755,3.0,3.25,26,0.12588531345767,nan,nan,217,645,616,0
1.0,0.0,77,3,14837269621533202755,3.0,3.25,26,0.02615278515647407,nan,nan,217,645,616,0
1.0,0.0,78,1,11111924844558443216,3.0,3.25,26,0.5248054893749984,nan,nan,188,549,536,0
1.0,0.0,78,2,11111924844558443216,3.0,3.25,26,0.20651137131520658,nan,nan,188,549,536,0
1.0,0.0,78,3,11111924844558443216,3.0,3.25,26,0.06855986175284308,nan,nan,188,549,536,0
1.0,0.0,79,1,7560038977013230537,3.0,3.25,26,0.4956685319328184,nan,nan,172,497,501,0
1.0,0.0,79,2,7560038977013230537,3.0,3.25,26,0.17645732360547484,nan,nan,172,497,501,0
1.0,0.0,79,3,7560038977013230537,3.0,3.25,26,0.03732026151356446,nan,nan,172,497,501,0
1.0,0.0,80,1,1798578993318334417,3.0,3.25,26,0.4607397054028444,nan,nan,194,583,583,0
1.0,0.0,80,2,1798578993318334417,3.0,3.25,26,0.13534091401983225,nan,nan,194,583,583,0
1.0,0.0,80,3,1798578993318334417,3.0,3.25,26,0.02865415457640208,nan,nan,194,583,583,0
1.0,0.0,81,1,11832890270081557852,3.0,3.25,26,0.42332015685868224,nan,nan,200,566,555,0
1.0,0.0,81,2,11832890270081557852,3.0,3.25,26,0.14508303631802927,nan,nan,200,566,555,0
1.0,0.0,81,3,11832890270081557852,3.0,3.25,26,0.030213761649395342,nan,nan,200,566,555,0
1.0,0.0,82,1,14521800078506116004,3.0,3.25,26,0.5123126475689842,nan,nan,179,508,501,0
1.0,0.0,82,2,14521800078506116004,3.0,3.25,26,0.12061468123986732,nan,nan,179,508,501,0
1.0,0.0,82,3,14521800078506116004,3.0,3.25,26,0.012626490085009505,nan,nan,179,508,501,0
1.0,0.0,83,1,6301113738135312221,3.0,3.25,26,0.524690959234167,nan,nan,179,551,537,0
1.0,0.0,83,2,6301113738135312221,3.0,3.25,26,0.1621084698819662,nan,nan,179,551,537,0
1.0,0.0,83,3,6301113738135312221,3.0,3.25,26,0.036643619132138545,nan,nan,179,551,537,0
1.0,0.0,84,1,421299585714695891,3.0,3.25,26,0.5189666111886405,nan,nan,185,550,531,0
1.0,0.0,84,2,421299585714695891,3.0,3.25,26,0.17501021260967645,nan,nan,185,550,531,0
1.0,0.0,84,3,421299585714695891,3.0,3.25,26,0.06269354311030263,nan,nan,185,550,531,0
1.0,0.0,85,1,8871154548886056263,3.0,3.25,26,0.5464893920577885,nan,nan,206,644,604,0
1.0,0.0,85,2,8871154548886056263,3.0,3.25,26,0.1934970676630424,nan,nan,206,644,604,0
1.0,0.0,85,3,8871154548886056263,3.0,3.25,26,0.04286208422984293,nan,nan,206,644,604,0
1.0,0.0,86,1,3747562995049477517,3.0,3.25,26,0.5051506128424189,nan,nan,213,595,587,0
